Film,Capitolo,Emozione,Intensità_media,Riassunto_narrativo
2,6,fear,0.93,Harry Potter's autobiography is celebrating its 27th week at the top of the Daily Prophet bestseller list. Harry Potter came to Flourish and Blotts this morning to buy his autobiography. He left with his entire collection of works free of charge.
2,23,fear,0.92,Headmaster Dippet may have no choice but to fire Tom because of the rumours he has been spreading.    Tom understands.
2,31,fear,0.91,"Ginny opened the Chamber of Secrets and set the basilisk on the Mudbloods and Filch's cat. She wrote the threatening messages on the walls because Harry told her to. She tried to dispose of the diary in the girl's bathroom, but Harry found it. Harry's new target is Fawkes."
1,1,fear,0.89,"The good and the bad in Professor's life are both good and bad, as Professor says.    Professor says."
1,30,fear,0.83,Snape tried to kill Harry Potter during the Quidditch match. Harry has won the House Cup and is shaking hands with Dumbledore.
1,31,disgust,0.9,"""Kill him. Stop him. Why suffer a horrific death when you can join me and live?"" asks the voice of a dying man."
3,12,disgust,0.9,Malfoy and Weasle-Bee are looking for a new home in a building meant to be the most haunted building in Britain.
2,20,disgust,0.82,"It's good. Just go and don't waste time.    ""It's cool. Ah Cool! Bloody hell! Just go!"""
5,1,disgust,0.81,Harry and Dudley are running from a dementor. Harry turns around to find the other dementor cutting off the way back. Dudley cried in his sleep last night.
3,5,disgust,0.78,"Malfoy is teaching classes. Buckbeak is trying to join them, but he's scared off by Dumbledore's voice."
4,22,joy,0.95,Severus will be welcomed back to his store like a hero because he helped Harry find the book that led him to the gilliweed.
1,5,joy,0.94,Professor Quirrell will be Harry Potter's Defense Against the Dark Arts teacher at Hogwarts. He is very pleased to meet Harry Potter.
3,14,joy,0.91,"Harry's cat killed Scabbers, so he's gone.   Harry's cat is always lurking about, but he hasn't lost anything."
2,4,joy,0.9,Ron Weasley and Harry Potter are having breakfast together. Ron has told them all about Harry Potter. Harry has been missing for some time.
1,27,joy,0.89,Professor Dumbledore left for London immediately after receiving an urgent owl from the Ministry of Magic. Harry and Fluffy are trying to steal Hagrid's dragon egg. Harry will go first.
4,1,surprise,0.95,The final of the 422nd Quidditch World Cup is taking place tonight. The match will take place at 7pm.
2,5,surprise,0.95,It's good to see you. It's so good to be with you.   It's been a while since I last saw you.
1,3,surprise,0.89,"There will be no post on Sunday, so Harry won't receive any letters. Have a lovely day at the office, dear."
2,17,surprise,0.83,"Professor Dumbledore has granted him permission to start a Dueling Club. Professor Snape will help him with a short demonstration. Potter, Weasley and Professor Snape are going to join him."
2,20,surprise,0.83,"It's good. Just go and don't waste time.    ""It's cool. Ah Cool! Bloody hell! Just go!"""
4,2,anger,0.86,Miss Granger gave the ministry a lot of grief a few years ago. Her father knows all about that. He's been there too.
2,34,anger,0.76,Mr. Weasley wants Harry to have an owl deliver the release papers to Azkaban. Harry notices similarities between Tom Riddle and Voldemort. Voldemort can speak Parseltongue.
3,25,anger,0.75,Harry is in Hagrid's hut now. He betrayed his parents. He can't be seen.    Harry is in the hut.
2,15,anger,0.7,Harry has a rogue Bludger that's been tampered with. Even with a proper wand it's too risky to hit Harry.
3,2,anger,0.63,"Ron broke out of Azkaban. He's a murderous, raving lunatic. He didn't mean to blow her up, he lost control."
3,23,sadness,0.88,"Sirius Black is in the topmost cell of the Dark Tower. He's probably going to be killed. If you succeed tonight, more than one innocent life may be spared."
2,7,sadness,0.84,Harry lost control of the trolley and can't get through the crowd. He's worried that Mum and Dad won't be able to get back.
2,10,sadness,0.79,Professor Sprout has given each of his students a pair of earmuffs for auditory protection. Ron stole a car. Ginny made Gryffindor and her father and I are proud.
3,26,sadness,0.77,Professor Lupin is having a bad night. Sirius' dad will conjure the Patronus any minute now.    He will be there.
3,10,sadness,0.76,"Harry's broomstick fell over 100 feet. Peaky wants to teach Harry how to fix it after the holidays, but Harry needs to rest."
4,3,love,0.77,Madame Maxime has sorted all the students and sorted them into Hogwarts. The students from the north have arrived. They are the sons of Durmstrang and Igor Karkaroff. Mad-Eye Moody is the winner of the tri-wizard tournament.
3,8,love,0.6,The Fat Lady is gone. Sirius Black entered Hogwarts Castle on his own. The castle is safe and Hogwarts is the most haunted building in Britain.
2,33,love,0.38,Harry has an urgent call and has to leave the classroom. He will not stay long as he is the Defense Against the Dark Arts teacher.
4,21,love,0.24,Cedric wants Harry to bring his body back to his father. Voldemort is back and Harry can't leave Cedric.
3,4,love,0.18,"Harry has a wonky cross. Harry's got trials and suffering and the sun. Harry will suffer, but he will be happy about it."
